Text,Date,Compound,Positive,Negative,Neutral,Tweets Ago
These medics ate Lego (and searched their 💩) to help little people who swallow things they shouldn't. https://t.co/bckBW17kSq,Wed Dec 05 17:01:08 +0000 2018,0.4019,0.137,0.863,0.0,1
"📺 From The ABC Murders to Les Misérables, @BBC_Culture picks the programmes worth seeing this month.
👉… https://t.co/0xPIPSbgDF",Wed Dec 05 14:00:19 +0000 2018,-0.4767,0.087,0.731,0.183,2
"RT @bbcthree: .@RuPaul’s Drag Race UK is coming soon to BBC Three.
 
Are you the UK’s next drag superstar? Apply to be on the show at https…",Wed Dec 05 13:11:01 +0000 2018,-0.4215,0.0,0.868,0.132,3
A Christmas gathering with a difference ❤️ https://t.co/udTuDYEF2s,Wed Dec 05 13:04:02 +0000 2018,0.0,0.0,1.0,0.0,4
"❌ Don't step on money in Thailand
❌ No swimming costumes in the city in Barcelona
❌ Don't pee in the sea in Portuga… https://t.co/m6BDFY39yh",Wed Dec 05 12:02:02 +0000 2018,-0.296,0.0,0.925,0.075,5
RT @bbcasiannetwork: “Life is too short – it can be taken away in a second” – Meet the women who are taking to the catwalk after cancer. ht…,Wed Dec 05 10:57:22 +0000 2018,-0.6597,0.0,0.845,0.155,6
"RT @bbcthree: Start your engines, @RuPaul's Drag Race UK is coming soon to BBC Three. https://t.co/7DkmvyFEd5",Wed Dec 05 10:18:13 +0000 2018,-0.2263,0.0,0.888,0.112,7
"""A little superstar""

This four-year-old girl called 999 when her mum started having a seizure. https://t.co/uHiehYI3V9",Wed Dec 05 09:01:06 +0000 2018,0.0,0.0,1.0,0.0,8
"🍳 We’ve all heard that healthier, fitter people don’t skip breakfast. 

But does that mean breakfast makes us healt… https://t.co/ByeVRaWaSX",Wed Dec 05 08:02:02 +0000 2018,0.0,0.0,1.0,0.0,9
He's a VERY good boy ❤️🐶https://t.co/ufcKE2tsv8,Wed Dec 05 07:16:03 +0000 2018,0.6028,0.495,0.505,0.0,10
"Actress, @JameelaJamil says airbrushing is a crime against women and should be illegal.
👉 https://t.co/z8vpYw3jmi https://t.co/RVMhowxg9m",Tue Dec 04 20:09:06 +0000 2018,-0.7964,0.0,0.693,0.307,11
"What would a ""disabled version of Monopoly"" look like? 
@LostVoiceGuy has the answer... 
#LiveAtTheApollo https://t.co/5wL2vveiWy",Tue Dec 04 19:05:05 +0000 2018,0.3612,0.161,0.839,0.0,12
"Ever dreamt of living off grid, surrounded by the Atlantic Ocean, with a tractor for a company car? 🚜

Well, this t… https://t.co/1iyGqcTyjV",Tue Dec 04 17:58:04 +0000 2018,0.2732,0.095,0.905,0.0,13
🍽 How eating local and cutting out beef can help save our planet. https://t.co/l9vRQOsL1C,Tue Dec 04 17:03:05 +0000 2018,0.6597,0.263,0.67,0.067,14
"RT @BBCOne: Your first New Year's resolution? Watch this. 

#Luther. Starts New Year's Day at 9pm on @BBCOne. https://t.co/MDDuEagbfO",Tue Dec 04 15:21:32 +0000 2018,0.0,0.0,1.0,0.0,15
"RT @cbbc: Could you be the BBC’s next big TV and film expert? 📺🎥

👉👉 apply at https://t.co/aYYHSAz5GT 

#tv #television #film #movie @BBCFi…",Tue Dec 04 14:41:09 +0000 2018,0.0,0.0,1.0,0.0,16
A bank customer was tricked into transferring money by fraudsters who pretended to be responding to his angry Twitt… https://t.co/1aykCCjWrR,Tue Dec 04 14:03:05 +0000 2018,-0.8074,0.0,0.658,0.342,17
Meet the 11-year-old girl saving Lagos from waste. https://t.co/2jzxpNYvuy,Tue Dec 04 13:06:03 +0000 2018,-0.4215,0.0,0.741,0.259,18
"Even before the internet, cats captured the cultural imagination. 
📖😺 A new exhibition at the @BritishLibrary explo… https://t.co/ma9xDTF9Ie",Tue Dec 04 12:03:06 +0000 2018,0.0,0.0,1.0,0.0,19
"RT @BBCOne: A warren of rabbits battle for freedom with all the world against them.

The British classic #WatershipDown gets a new adaptati…",Tue Dec 04 10:35:00 +0000 2018,0.3818,0.163,0.736,0.101,20
"😂  If #EastEnders was set in the animal kingdom. 
(🔊 Sound on) https://t.co/Ak684v3ANw",Sun Dec 02 18:56:02 +0000 2018,0.4404,0.184,0.725,0.092,21
"Toulouse-Lautrec was a trailblazer for the lithography movement in Paris, and one of the earliest victims of celebr… https://t.co/HHW6jiRJEZ",Sun Dec 02 17:55:03 +0000 2018,-0.3182,0.0,0.881,0.119,22
"""Plastic is not that cheap. It comes at a price."" https://t.co/FD6xUHdrMa",Sun Dec 02 16:57:06 +0000 2018,0.0,0.0,1.0,0.0,23
"A woman whose disabling menstrual pain was dismissed as ""what happens to women"" says more needs to be done to diagn… https://t.co/fufa5jF0Mz",Sun Dec 02 16:05:02 +0000 2018,-0.7506,0.0,0.748,0.252,24
Pope Francis charmed as small boy interrupts general audience... and just wait for the moment his sister appears. https://t.co/y3ba694wlb,Sun Dec 02 13:06:06 +0000 2018,0.1779,0.135,0.762,0.103,25
